date,confirmed,recovered,deaths,increase_rate,active_cases,daily_new_confirmed,daily_new_recovered,daily_new_deaths,year,month,month_name,week,day_of_week,days_since_start
2020-01-22,557,30,17,0.0,510,557.0,30.0,17.0,2020,1,Jan,4,Wednesday,0
2020-01-23,657,32,18,17.953321364452425,607,100.0,2.0,1.0,2020,1,Jan,4,Thursday,1
2020-01-24,944,39,26,43.68340943683409,879,287.0,7.0,8.0,2020,1,Jan,4,Friday,2
2020-01-25,1437,42,42,52.22457627118644,1353,493.0,3.0,16.0,2020,1,Jan,4,Saturday,3
2020-01-26,2120,56,56,47.52957550452332,2008,683.0,14.0,14.0,2020,1,Jan,4,Sunday,4
2020-01-27,2929,65,82,38.16037735849056,2782,809.0,9.0,26.0,2020,1,Jan,5,Monday,5
2020-01-28,5580,108,131,90.5087060430181,5341,2651.0,43.0,49.0,2020,1,Jan,5,Tuesday,6
2020-01-29,6169,127,133,10.555555555555555,5909,589.0,19.0,2.0,2020,1,Jan,5,Wednesday,7
2020-01-30,8237,145,171,33.52245096449992,7921,2068.0,18.0,38.0,2020,1,Jan,5,Thursday,8
2020-01-31,9927,225,213,20.51717858443608,9489,1690.0,80.0,42.0,2020,1,Jan,5,Friday,9
2020-02-01,12038,287,259,21.2652362244384,11492,2111.0,62.0,46.0,2020,2,Feb,5,Saturday,10
2020-02-02,16787,476,362,39.45007476324971,15949,4749.0,189.0,103.0,2020,2,Feb,5,Sunday,11
2020-02-03,19887,627,426,18.466670637993683,18834,3100.0,151.0,64.0,2020,2,Feb,6,Monday,12
2020-02-04,23899,857,492,20.173983003972445,22550,4012.0,230.0,66.0,2020,2,Feb,6,Tuesday,13
2020-02-05,27644,1130,564,15.670111720155656,25950,3745.0,273.0,72.0,2020,2,Feb,6,Wednesday,14
2020-02-06,30806,1493,634,11.438286789176674,28679,3162.0,363.0,70.0,2020,2,Feb,6,Thursday,15
2020-02-07,34400,2016,719,11.666558462637148,31665,3594.0,523.0,85.0,2020,2,Feb,6,Friday,16
2020-02-08,37131,2617,806,7.938953488372093,33708,2731.0,601.0,87.0,2020,2,Feb,6,Saturday,17
2020-02-09,40162,3247,906,8.162990493118958,36009,3031.0,630.0,100.0,2020,2,Feb,6,Sunday,18
2020-02-10,42771,3949,1013,6.496190428763509,37809,2609.0,702.0,107.0,2020,2,Feb,7,Monday,19
2020-02-11,44814,4684,1113,4.77660096794557,39017,2043.0,735.0,100.0,2020,2,Feb,7,Tuesday,20
2020-02-12,45232,5151,1118,0.932744231713304,38963,418.0,467.0,5.0,2020,2,Feb,7,Wednesday,21
2020-02-13,60384,6294,1371,33.49840820657941,52719,15152.0,1143.0,253.0,2020,2,Feb,7,Thursday,22
2020-02-14,66912,8061,1523,10.81081081081081,57328,6528.0,1767.0,152.0,2020,2,Feb,7,Friday,23
2020-02-15,69055,9397,1666,3.202714012434242,57992,2143.0,1336.0,143.0,2020,2,Feb,7,Saturday,24
2020-02-16,71238,10867,1770,3.1612482803562383,58601,2183.0,1470.0,104.0,2020,2,Feb,7,Sunday,25
2020-02-17,73273,12587,1868,2.856621466071479,58818,2035.0,1720.0,98.0,2020,2,Feb,8,Monday,26
2020-02-18,75155,14352,2008,2.568476792270004,58795,1882.0,1765.0,140.0,2020,2,Feb,8,Tuesday,27
2020-02-19,75655,16123,2123,0.6652917304237909,57409,500.0,1771.0,115.0,2020,2,Feb,8,Wednesday,28
2020-02-20,76216,18181,2248,0.7415240235278567,55787,561.0,2058.0,125.0,2020,2,Feb,8,Thursday,29
2020-02-21,76846,18894,2252,0.8265980896399705,55700,630.0,713.0,4.0,2020,2,Feb,8,Friday,30
2020-02-22,78608,22892,2459,2.292897483278245,53257,1762.0,3998.0,207.0,2020,2,Feb,8,Saturday,31
2020-02-23,78990,23397,2470,0.4859556279259108,53123,382.0,505.0,11.0,2020,2,Feb,8,Sunday,32
2020-02-24,79558,25229,2630,0.7190783643499177,51699,568.0,1832.0,160.0,2020,2,Feb,9,Monday,33
2020-02-25,80412,27907,2710,1.0734307046431537,49795,854.0,2678.0,80.0,2020,2,Feb,9,Tuesday,34
2020-02-26,81385,30388,2771,1.2100184052131524,48226,973.0,2481.0,61.0,2020,2,Feb,9,Wednesday,35
2020-02-27,82730,33282,2814,1.6526386926337775,46634,1345.0,2894.0,43.0,2020,2,Feb,9,Thursday,36
2020-02-28,84154,36714,2873,1.7212619364196786,44567,1424.0,3432.0,59.0,2020,2,Feb,9,Friday,37
2020-02-29,86030,39785,2943,2.229246381633672,43302,1876.0,3071.0,70.0,2020,2,Feb,9,Saturday,38
2020-03-01,88410,42721,2997,2.7664768104149715,42692,2380.0,2936.0,54.0,2020,3,Mar,9,Sunday,39
2020-03-02,90393,45605,3086,2.2429589412962336,41702,1983.0,2884.0,89.0,2020,3,Mar,10,Monday,40
2020-03-03,93004,48227,3160,2.8884980031639618,41617,2611.0,2622.0,74.0,2020,3,Mar,10,Tuesday,41
2020-03-04,95329,51170,3255,2.499892477742893,40904,2325.0,2943.0,95.0,2020,3,Mar,10,Wednesday,42
2020-03-05,98046,53796,3348,2.850129551343243,40902,2717.0,2626.0,93.0,2020,3,Mar,10,Thursday,43
2020-03-06,101976,55864,3461,4.008322624074414,42651,3930.0,2068.0,113.0,2020,3,Mar,10,Friday,44
